timestamp,speaker,language,text,source,line
00:04:12,l,en,hello!,GOWstream.mp4,34.0
00:04:17,l,en,i fixed my background,GOWstream.mp4,35.0
00:04:22,l,en,i am now sittign further up so you can actually see the pictures,GOWstream.mp4,36.0
00:04:27,l,en,i hope you had a good start into the week!,GOWstream.mp4,37.0
00:04:32,c,en,fit check? ,GOWstream.mp4,38.0
00:04:37,l,en,not worth it,GOWstream.mp4,39.0
00:04:42,l,de,"nices oberteil und so, aber mit jogginghose ",GOWstream.mp4,40.0
00:04:47,l,de,danke für die bitties niklas,GOWstream.mp4,41.0
00:04:52,l,de,"wisst ihr, was ich gemacht hab?",GOWstream.mp4,42.0
00:04:57,l,de,ich bin richtig schlau und richtig nett zu mir selber gewesen,GOWstream.mp4,43.0
00:05:02,l,de,und hab die ganzen Analyse dinger weggetan,GOWstream.mp4,44.0
00:05:07,l,de,"ich möcht nicht wissen, was abgeht, wieviel egrade da sind und wieviele nicht",GOWstream.mp4,45.0
00:05:12,l,de,"ich such es zwar manchmal, aber immer wenn ich es dann nicht finde, bin ich happy ",GOWstream.mp4,46.0
00:05:17,c,de,ich find den fit sehr nice,GOWstream.mp4,47.0
00:05:22,l,de,"findest du? mit der jogginghose, die ultra ranz ist? ",GOWstream.mp4,48.0
00:05:27,l,de,das Oberteil ist sehr nice auf jeden fall,GOWstream.mp4,49.0
00:05:32,l,de,es ist ein ok fit,GOWstream.mp4,50.0
00:05:37,l,de,ein unfertiger fit,GOWstream.mp4,51.0
00:05:42,c,de,es sind gerade 666 zuschauer da,GOWstream.mp4,52.0
00:05:47,l,de,ja. bestimmt,GOWstream.mp4,53.0
00:05:52,l,de,"wenn ich 666 Zuschauer hab, hör ich auf mit twitch",GOWstream.mp4,54.0
00:05:57,l,en,obviously ,GOWstream.mp4,55.0
00:06:02,c,de,und wer ist jetzt unworthy? ,GOWstream.mp4,56.0
00:06:07,l,de,die Valkyre die wir jetzt dann gleich töten werden... hoffentlich,GOWstream.mp4,57.0
00:06:12,l,de,"die kommt immer von oben, stepped uns ins gesicht und schreit ""unworthy"" !",GOWstream.mp4,58.0
00:06:17,l,de,"und weil ich mir sicher bin, dass wir die nciht sofort schaffen, wird das jetzt ein paar mal kommen",GOWstream.mp4,59.0
00:06:22,l,de,ich muss ja erstmal wieder reinkommen so,GOWstream.mp4,60.0
00:06:27,l,de,vielleicht bin ich aber schon drin,GOWstream.mp4,61.0
